-1.5,2.2,1
-1.414333333,2.152888889,1.9
-1.328666667,2.094888889,2.8
-1.243,2.026,3.7
-1.157333333,1.946222222,4.6
-1.071666667,1.855555556,5.5
-0.986,1.754,6.4
-0.900333333,1.641555556,7.3
-0.814666667,1.518222222,8.2
-0.729,1.384,9.1
-0.643333333,1.238888889,10
-0.557666667,1.082888889,10.9
-0.472,0.916,11.8
-0.386333333,0.738222222,12.7
-0.300666667,0.549555556,13.6
-0.215,0.35,14.5
-0.129333333,0.139555556,15.4
-0.043666667,0.068988733,16.3
0.042,0.251205324,17.2
0.127666667,0.422533026,18.1
0.213333333,0.582971839,19
0.299,0.732521764,19.9
0.384666667,0.871182799,20.8
0.470333333,0.998954946,21.7
0.556,1.115838204,22.6
0.641666667,1.221832573,23.5
0.727333333,1.316938053,24.4
0.813,1.401154644,25.3
0.898666667,1.474482346,26.2
0.984333333,1.536921159,27.1
1.07,1.588471084,28
1.155666667,1.629132119,28.9
