x,y,z
-1.5,2.2,1
-1.433333333,2.161222222,2
-1.366666667,2.111555556,3
-1.3,2.051,4
-1.233333333,1.979555556,5
-1.166666667,1.897222222,6
-1.1,1.804,7
-1.033333333,1.699888889,8
-0.966666667,1.584888889,9
-0.9,1.459,10
-0.833333333,1.322222222,11
-0.766666667,1.174555556,12
-0.7,1.016,13
-0.633333333,0.846555556,14
-0.566666667,0.666222222,15
-0.5,0.475,16
-0.433333333,0.272888889,17
-0.366666667,0.059888889,18
-0.3,0.117954765,19
-0.233333333,0.270643832,20
-0.166666667,0.412444009,21
-0.1,0.543355298,22
-0.033333333,0.663377698,23
0.033333333,0.772511209,24
0.1,0.870755832,25
0.166666667,0.958111565,26
0.233333333,1.03457841,27
0.3,1.100156365,28
0.366666667,1.154845432,29
0.433333333,1.19864561,30
0.5,1.231556898,31
0.566666667,1.253579298,32
